product_id,product_name,category,base_price
1,Wireless Noise-Cancelling Headphones,Electronics,189.0
2,Bluetooth Portable Speaker,Electronics,79.0
3,Smart Watch Fitness Tracker,Electronics,149.0
4,USB-C Laptop Hub (7-in-1),Electronics,49.0
5,Mechanical Keyboard,Electronics,89.0
6,Webcam 1080p HD,Electronics,69.0
7,Running Shoes,Apparel,95.0
8,Insulated Winter Jacket,Apparel,115.0
9,Essential Cotton T-Shirt,Apparel,22.0
10,Slim Fit Chino Pants,Apparel,58.0
11,Athletic Compression Shorts,Apparel,35.0
12,Wool Blend Beanie,Apparel,24.0
13,Stainless Steel Cookware Set,Home and Kitchen,189.0
14,Air Purifier Compact,Home and Kitchen,99.0
15,Electric Kettle 1.7L,Home and Kitchen,45.0
16,Bamboo Cutting Board Set,Home and Kitchen,38.0
17,Coffee Grinder Burr,Home and Kitchen,65.0
18,Silicone Baking Mat Set,Home and Kitchen,22.0
19,The Lean Startup,Books,18.0
20,Atomic Habits,Books,16.0
21,Python Crash Course,Books,32.0
22,Thinking Fast and Slow,Books,17.0
23,The Art of War,Books,10.0
24,Zero to One,Books,15.0
25,Yoga Mat Non-Slip,Sports and Outdoors,42.0
26,Resistance Band Set,Sports and Outdoors,28.0
27,Adjustable Dumbbell 20kg,Sports and Outdoors,159.0
28,Hydration Running Vest,Sports and Outdoors,75.0
29,Foam Roller Massage,Sports and Outdoors,35.0
30,Jump Rope Speed Cable,Sports and Outdoors,22.0
31,Vitamin C Serum 30ml,Beauty,34.0
32,Hyaluronic Acid Moisturizer,Beauty,28.0
33,Electric Face Cleanser Brush,Beauty,55.0
34,SPF 50 Sunscreen Fluid,Beauty,22.0
35,Retinol Night Cream,Beauty,38.0
36,Micellar Cleansing Water 400ml,Beauty,16.0
